Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level,Year_of_Study_Encoded,Prompt_Skill_Encoded,Policy_Encoded,Burnout_Encoded,Paid_Sub_Int,Major_Arts,Major_Business,Major_Humanities,Major_Medical,Major_STEM,Use_Copywriting/Drafting,Use_Debugging/Troubleshooting,Use_Direct_Answer_Generation,Use_Ideation,Use_Summarizing_Reading,GPA_Change,AI_to_Study_Ratio,Total_Study_Hours,AI_Dominant,Dep_Anxiety_Interaction,Dep_Skill_Ratio,High_AI_User,GPA_Direction
100001,Humanities,Senior,2.418,23.31,Copywriting/Drafting,Beginner,1,True,8.13,5,Allowed_With_Citation,6,2.393,86.44,High,4,1,2,3,1,0,0,1,0,0,1,0,0,0,0,-0.025000000000000355,2.867,31.439999999999998,1,30,4.995,1,Stable
100002,Medical,Junior,3.821,1.12,Ideation,Advanced,5,False,16.65,3,Allowed_With_Citation,9,3.696,69.39,Low,3,3,2,1,0,0,0,0,1,0,0,0,0,1,0,-0.125,0.067,17.77,0,27,1.0,0,Declined
100003,Business,Freshman,3.398,21.26,Summarizing_Reading,Beginner,2,False,10.35,5,Strict_Ban,9,3.499,73.93,Medium,1,1,1,2,0,0,1,0,0,0,0,0,0,0,1,0.10099999999999998,2.054,31.61,1,45,4.995,1,Improved
100004,Business,Senior,3.789,1.82,Copywriting/Drafting,Intermediate,4,False,15.23,2,Allowed_With_Citation,2,4.0,63.58,Medium,4,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0.21099999999999985,0.119,17.05,0,4,1.0,0,Improved
100005,STEM,Sophomore,3.635,9.29,Debugging/Troubleshooting,Advanced,4,False,12.55,4,Allowed_With_Citation,4,3.798,100.0,Medium,2,3,2,2,0,0,0,0,0,1,0,1,0,0,0,0.16300000000000026,0.74,21.84,0,16,1.333,0,Improved
100006,STEM,Junior,3.449,6.5,Debugging/Troubleshooting,Beginner,1,False,14.19,4,Allowed_With_Citation,5,3.666,65.92,High,3,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0.21700000000000008,0.458,20.689999999999998,0,20,3.996,0,Improved
100007,STEM,Freshman,3.622,31.41,Summarizing_Reading,Advanced,5,True,13.11,8,Allowed_With_Citation,7,4.0,67.97,Medium,1,3,2,2,1,0,0,0,0,1,0,0,0,0,1,0.3780000000000001,2.396,44.519999999999996,1,56,2.666,1,Improved
100008,Arts,Junior,2.746,5.33,Copywriting/Drafting,Intermediate,3,False,18.45,2,Actively_Encouraged,1,2.965,85.09,Medium,3,2,3,2,0,1,0,0,0,0,1,0,0,0,0,0.21899999999999986,0.289,23.78,0,2,1.0,0,Improved
100009,Business,Sophomore,3.42,2.0,Debugging/Troubleshooting,Beginner,2,True,2.87,1,Strict_Ban,5,3.396,55.71,Medium,2,1,1,2,1,0,1,0,0,0,0,1,0,0,0,-0.02400000000000002,0.697,4.87,0,5,0.999,0,Stable
100010,Business,Sophomore,3.046,19.99,Debugging/Troubleshooting,Intermediate,2,True,12.49,3,Strict_Ban,8,2.978,87.18,High,2,2,1,3,1,0,1,0,0,0,0,1,0,0,0,-0.06799999999999962,1.6,32.48,1,24,1.499,1,Stable
